255673,6787,Daffodils,1,12,12,11,1,8
255673,9807,Angel Edition,2,120,120,110,2,8
657655787,6901028300056,Wuxi Taihu,1,129,129,11,7,8
657655787,35676,Yutai District,2,168,670,125,3,2
8987,67876989,Coca-Cola,1,10,10,15,89,1
8987,78987987,Theory,2,70,70,110,2,8
657655787,6901028300056,Wuxi Taihu,1,129,129,11,7,8
657655787,35676,Yutai District,2,168,670,125,3,2
154244364898517662217,6901028300056,Nanjing Special Reserve,1,12,12,11,1,8
154244364898517662217,6901028300056,Special Reserve 2,2,120,120,110,2,8
154244364898517662219,6901028300058,Special Reserve 4,2,10,10,9,4,8
154244364898517662219,6901028300058,Special Reserve 5,4,50,50,45,4,8
